#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-30T21:00:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54023b6f59f5	
#INFO	-out.max=999999	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=999999
#-nav=cat:J/ApJS/145/329&tab:{J/ApJS/145/329/sources}&key:source=J/ApJS/145/329/sources&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/145/329/sources
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=Ta
#-out=Sp
#Sp=Sp
#-out=Fit
#Fit=Fit
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_21450329
#Name: J/ApJS/145/329
#Title: Millennium Arecibo 21-cm Survey (Heiles+, 2003)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_ApJS_145_329_sources:
#Name: J/ApJS/145/329/sources
#Title: Sources parameters {\em(position does generally not coincide with the object observed)}
#Column	Name	(a9)	Source name	[ucd=meta.id;meta.main]
#Column	RAB1950	(F8.4)	Right Ascension in decimal hours (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(F8.4)	Declination in decimal degrees (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	Ta	(F8.3)	Source antenna temperature	[ucd=phot.antennaTemp]
#Column	Sp	(A2)	Display the spectrum (from table1)	[ucd=meta.ref.url]
#Column	Fit	(A3)	Display the fits parameters (from table2)	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name	RAB1950	DEB1950	Ta	Sp	Fit	_RA.icrs	_DE.icrs
3C190.0  	119.6880	+14.3839	  42.579	Sp	Fit	120.3901	+14.2445
3C192    	120.6463	+24.3095	  61.927	Sp	Fit	121.3943	+24.1660
P0820+22 	125.1180	+22.5462	  34.167	Sp	Fit	125.8523	+22.3846
3C207    	129.5076	+13.3851	  43.041	Sp	Fit	130.1987	+13.2067
3C208.0  	132.5976	+14.0712	  40.891	Sp	Fit	133.2889	+13.8815
3C208.1  	132.9751	+14.2878	  37.103	Sp	Fit	133.6669	+14.0968
3C223    	144.2109	+36.1281	  17.408	Sp	Fit	144.9687	+35.9012
3C225a   	144.8551	+14.0934	  20.262	Sp	Fit	145.5353	+13.8648
3C225b   	144.8847	+13.9917	  65.050	Sp	Fit	145.5645	+13.7630
3C228.0  	147.5960	+14.5664	  60.652	Sp	Fit	148.2747	+14.3305
3C234    	149.7368	+29.0279	  69.032	Sp	Fit	150.4540	+28.7866
3C236    	150.7729	+35.1470	  34.931	Sp	Fit	151.5077	+34.9032
3C237    	151.3422	+07.7495	 115.829	Sp	Fit	152.0005	+07.5045
3C245    	160.0255	+12.3209	  52.961	Sp	Fit	160.6863	+12.0587
P1055+20 	163.9059	+20.1340	  40.565	Sp	Fit	164.5740	+19.8661
P1117+14 	170.1573	+14.5927	  41.403	Sp	Fit	170.8098	+14.3182
3C263.1  	175.9347	+22.3471	  51.302	Sp	Fit	176.5828	+22.0693
3C264.0  	176.3725	+19.8700	  63.447	Sp	Fit	177.0189	+19.5921
3C267.0  	177.5378	+13.0287	  36.972	Sp	Fit	178.1808	+12.7505
3C272.1  	186.3269	+13.1230	  89.259	Sp	Fit	186.9601	+12.8465
3C273    	186.6372	+02.3276	 756.289	Sp	Fit	187.2766	+02.0513
3C274.1  	188.2377	+21.6184	  35.079	Sp	Fit	188.8621	+21.3431
4C07.32  	199.1347	+07.2668	  21.868	Sp	Fit	199.7638	+07.0043
4C32.44  	200.9947	+32.1648	  61.732	Sp	Fit	201.5722	+31.9054
3C286    	202.2073	+30.7673	 219.683	Sp	Fit	202.7849	+30.5101
3C293    	207.5120	+31.6954	  65.550	Sp	Fit	208.0729	+31.4492
4C19.44  	208.6752	+19.5623	  37.261	Sp	Fit	209.2683	+19.3188
4C20.33  	216.3787	+20.2199	  30.362	Sp	Fit	216.9585	+19.9966
3C310    	225.7002	+26.2101	  64.030	Sp	Fit	226.2428	+26.0166
3C315    	227.8794	+26.3104	  61.883	Sp	Fit	228.4180	+26.1247
3C318    	230.1642	+20.4280	  45.759	Sp	Fit	230.7254	+20.2507
3C333    	243.7714	+21.2476	  29.113	Sp	Fit	244.3151	+21.1258
3C348    	251.9312	+05.1267	 634.463	Sp	Fit	252.5484	+05.0418
3C353    	259.2289	-00.8905	 527.733	Sp	Fit	259.8740	-00.9410
4C13.65  	269.0553	+13.4783	  39.316	Sp	Fit	269.6293	+13.4751
4C13.67  	278.8032	+13.4678	  25.535	Sp	Fit	279.3780	+13.5118
3C409    	303.0762	+23.4283	 242.444	Sp	Fit	303.6158	+23.5813
3C410    	304.5141	+29.5433	 144.605	Sp	Fit	305.0248	+29.7021
3C433    	320.3778	+24.8549	 200.294	Sp	Fit	320.9364	+25.0702
3C454.0  	342.9866	+18.6268	  37.019	Sp	Fit	343.6001	+18.8934
3C454.3  	342.8727	+15.8821	 274.384	Sp	Fit	343.4903	+16.1486

